,config,time,commit_num
196,sudo lrzip -z -L 9 -w 81 -N 12 -p 1,807.47,0
197,sudo lrzip -z -L 9 -w 81 -N 12 -p 2,450.12,0
198,sudo lrzip -z -L 9 -w 81 -N 12 -p 3,379.89,0
199,sudo lrzip -z -L 9 -w 81 -N 12 -p 4,355.35,0
200,sudo lrzip -b -L 8 -w 1 -N -20 -p 1,25.2,0
201,sudo lrzip -b -L 8 -w 1 -N -20 -p 2,20.61,0
202,sudo lrzip -b -L 8 -w 1 -N -20 -p 3,20.03,0
203,sudo lrzip -b -L 8 -w 1 -N -20 -p 4,19.35,0
204,sudo lrzip -b -L 8 -w 1 -N -12 -p 1,25.17,0
205,sudo lrzip -b -L 8 -w 1 -N -12 -p 2,20.52,0
206,sudo lrzip -b -L 8 -w 1 -N -12 -p 3,20.25,0
207,sudo lrzip -b -L 8 -w 1 -N -12 -p 4,19.22,0
208,sudo lrzip -b -L 8 -w 1 -N -4 -p 1,25.16,0
209,sudo lrzip -b -L 8 -w 1 -N -4 -p 2,20.84,0
210,sudo lrzip -b -L 8 -w 1 -N -4 -p 3,20.27,0
211,sudo lrzip -b -L 8 -w 1 -N -4 -p 4,19.2,0
212,sudo lrzip -b -L 8 -w 1 -N 4 -p 1,25.8,0
213,sudo lrzip -b -L 8 -w 1 -N 4 -p 2,20.3,0
214,sudo lrzip -b -L 8 -w 1 -N 4 -p 3,19.92,0
215,sudo lrzip -b -L 8 -w 1 -N 4 -p 4,18.86,0
216,sudo lrzip -b -L 8 -w 1 -N 12 -p 1,25.86,0
217,sudo lrzip -b -L 8 -w 1 -N 12 -p 2,20.59,0
218,sudo lrzip -b -L 8 -w 1 -N 12 -p 3,20.1,0
219,sudo lrzip -b -L 8 -w 1 -N 12 -p 4,18.92,0
220,sudo lrzip -b -L 8 -w 21 -N -20 -p 1,32.49,0
221,sudo lrzip -b -L 8 -w 21 -N -20 -p 2,20.14,0
222,sudo lrzip -b -L 8 -w 21 -N -20 -p 3,18.53,0
223,sudo lrzip -b -L 8 -w 21 -N -20 -p 4,16.67,0
224,sudo lrzip -b -L 8 -w 21 -N -12 -p 1,32.46,0
225,sudo lrzip -b -L 8 -w 21 -N -12 -p 2,19.11,0
226,sudo lrzip -b -L 8 -w 21 -N -12 -p 3,18.27,0
227,sudo lrzip -b -L 8 -w 21 -N -12 -p 4,16.76,0
228,sudo lrzip -b -L 8 -w 21 -N -4 -p 1,32.4,0
229,sudo lrzip -b -L 8 -w 21 -N -4 -p 2,19.12,0
230,sudo lrzip -b -L 8 -w 21 -N -4 -p 3,18.69,0
231,sudo lrzip -b -L 8 -w 21 -N -4 -p 4,16.32,0
232,sudo lrzip -b -L 8 -w 21 -N 4 -p 1,32.44,0
233,sudo lrzip -b -L 8 -w 21 -N 4 -p 2,19.07,0
234,sudo lrzip -b -L 8 -w 21 -N 4 -p 3,18.25,0
235,sudo lrzip -b -L 8 -w 21 -N 4 -p 4,16.53,0
236,sudo lrzip -b -L 8 -w 21 -N 12 -p 1,32.47,0
237,sudo lrzip -b -L 8 -w 21 -N 12 -p 2,22.02,0
238,sudo lrzip -b -L 8 -w 21 -N 12 -p 3,17.54,0
239,sudo lrzip -b -L 8 -w 21 -N 12 -p 4,16.6,0
240,sudo lrzip -b -L 8 -w 41 -N -20 -p 1,32.45,0
241,sudo lrzip -b -L 8 -w 41 -N -20 -p 2,19.31,0
242,sudo lrzip -b -L 8 -w 41 -N -20 -p 3,17.86,0
243,sudo lrzip -b -L 8 -w 41 -N -20 -p 4,16.85,0
244,sudo lrzip -b -L 8 -w 41 -N -12 -p 1,32.51,0
245,sudo lrzip -b -L 8 -w 41 -N -12 -p 2,19.61,0
246,sudo lrzip -b -L 8 -w 41 -N -12 -p 3,17.83,0
247,sudo lrzip -b -L 8 -w 41 -N -12 -p 4,16.6,0
248,sudo lrzip -b -L 8 -w 41 -N -4 -p 1,32.6,0
249,sudo lrzip -b -L 8 -w 41 -N -4 -p 2,21.44,0
250,sudo lrzip -b -L 8 -w 41 -N -4 -p 3,18.05,0
251,sudo lrzip -b -L 8 -w 41 -N -4 -p 4,16.25,0
252,sudo lrzip -b -L 8 -w 41 -N 4 -p 1,32.48,0
253,sudo lrzip -b -L 8 -w 41 -N 4 -p 2,19.17,0
254,sudo lrzip -b -L 8 -w 41 -N 4 -p 3,17.04,0
255,sudo lrzip -b -L 8 -w 41 -N 4 -p 4,16.19,0
256,sudo lrzip -b -L 8 -w 41 -N 12 -p 1,32.54,0
257,sudo lrzip -b -L 8 -w 41 -N 12 -p 2,19.25,0
258,sudo lrzip -b -L 8 -w 41 -N 12 -p 3,17.81,0
259,sudo lrzip -b -L 8 -w 41 -N 12 -p 4,16.53,0
260,sudo lrzip -b -L 8 -w 61 -N -20 -p 1,32.62,0
261,sudo lrzip -b -L 8 -w 61 -N -20 -p 2,19.39,0
262,sudo lrzip -b -L 8 -w 61 -N -20 -p 3,17.51,0
263,sudo lrzip -b -L 8 -w 61 -N -20 -p 4,16.82,0
264,sudo lrzip -b -L 8 -w 61 -N -12 -p 1,32.52,0
265,sudo lrzip -b -L 8 -w 61 -N -12 -p 2,19.31,0
266,sudo lrzip -b -L 8 -w 61 -N -12 -p 3,17.68,0
267,sudo lrzip -b -L 8 -w 61 -N -12 -p 4,15.98,0
268,sudo lrzip -b -L 8 -w 61 -N -4 -p 1,32.43,0
269,sudo lrzip -b -L 8 -w 61 -N -4 -p 2,19.21,0
270,sudo lrzip -b -L 8 -w 61 -N -4 -p 3,17.36,0
271,sudo lrzip -b -L 8 -w 61 -N -4 -p 4,16.58,0
272,sudo lrzip -b -L 8 -w 61 -N 4 -p 1,32.42,0
273,sudo lrzip -b -L 8 -w 61 -N 4 -p 2,19.15,0
274,sudo lrzip -b -L 8 -w 61 -N 4 -p 3,18.26,0
275,sudo lrzip -b -L 8 -w 61 -N 4 -p 4,16.17,0
276,sudo lrzip -b -L 8 -w 61 -N 12 -p 1,32.43,0
277,sudo lrzip -b -L 8 -w 61 -N 12 -p 2,19.67,0
278,sudo lrzip -b -L 8 -w 61 -N 12 -p 3,16.82,0
279,sudo lrzip -b -L 8 -w 61 -N 12 -p 4,16.22,0
280,sudo lrzip -b -L 8 -w 81 -N -20 -p 1,32.41,0
281,sudo lrzip -b -L 8 -w 81 -N -20 -p 2,19.6,0
282,sudo lrzip -b -L 8 -w 81 -N -20 -p 3,17.88,0
283,sudo lrzip -b -L 8 -w 81 -N -20 -p 4,16.52,0
284,sudo lrzip -b -L 8 -w 81 -N -12 -p 1,32.44,0
285,sudo lrzip -b -L 8 -w 81 -N -12 -p 2,19.07,0
286,sudo lrzip -b -L 8 -w 81 -N -12 -p 3,17.87,0
287,sudo lrzip -b -L 8 -w 81 -N -12 -p 4,16.61,0
288,sudo lrzip -b -L 8 -w 81 -N -4 -p 1,32.47,0
289,sudo lrzip -b -L 8 -w 81 -N -4 -p 2,19.18,0
290,sudo lrzip -b -L 8 -w 81 -N -4 -p 3,18.29,0
291,sudo lrzip -b -L 8 -w 81 -N -4 -p 4,16.58,0
292,sudo lrzip -b -L 8 -w 81 -N 4 -p 1,32.51,0
293,sudo lrzip -b -L 8 -w 81 -N 4 -p 2,19.07,0
294,sudo lrzip -b -L 8 -w 81 -N 4 -p 3,17.4,0
295,sudo lrzip -b -L 8 -w 81 -N 4 -p 4,16.48,0
296,sudo lrzip -b -L 8 -w 81 -N 12 -p 1,32.4,0
297,sudo lrzip -b -L 8 -w 81 -N 12 -p 2,19.01,0
298,sudo lrzip -b -L 8 -w 81 -N 12 -p 3,17.58,0
299,sudo lrzip -b -L 8 -w 81 -N 12 -p 4,16.21,0
300,sudo lrzip -b -L 9 -w 1 -N -20 -p 1,26.63,0
301,sudo lrzip -b -L 9 -w 1 -N -20 -p 2,23.62,0
302,sudo lrzip -b -L 9 -w 1 -N -20 -p 3,23.86,0
303,sudo lrzip -b -L 9 -w 1 -N -20 -p 4,23.46,0
304,sudo lrzip -b -L 9 -w 1 -N -12 -p 1,26.7,0
305,sudo lrzip -b -L 9 -w 1 -N -12 -p 2,23.56,0
306,sudo lrzip -b -L 9 -w 1 -N -12 -p 3,23.85,0
307,sudo lrzip -b -L 9 -w 1 -N -12 -p 4,23.3,0
308,sudo lrzip -b -L 9 -w 1 -N -4 -p 1,26.65,0
309,sudo lrzip -b -L 9 -w 1 -N -4 -p 2,23.53,0
310,sudo lrzip -b -L 9 -w 1 -N -4 -p 3,23.81,0
311,sudo lrzip -b -L 9 -w 1 -N -4 -p 4,23.19,0
312,sudo lrzip -b -L 9 -w 1 -N 4 -p 1,26.94,0
313,sudo lrzip -b -L 9 -w 1 -N 4 -p 2,23.3,0
314,sudo lrzip -b -L 9 -w 1 -N 4 -p 3,23.46,0
